date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:44	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:44%20GMT	https://pavlolevchukknm201.wixsite.com/9692b4a8.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/9692b4a8.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:45	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:44%20GMT	https://pavlolevchukknm201.wixsite.com/914012ea.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/914012ea.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:45	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:45%20GMT	https://pavlolevchukknm201.wixsite.com/ffa0eb8f.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/ffa0eb8f.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:46	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:45%20GMT	https://pavlolevchukknm201.wixsite.com/fe8be6d6.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/fe8be6d6.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:46	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:46%20GMT	https://pavlolevchukknm201.wixsite.com/a28cca36.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/a28cca36.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:46	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:46%20GMT	https://pavlolevchukknm201.wixsite.com/02b07b80.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/02b07b80.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:47	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:46%20GMT	https://pavlolevchukknm201.wixsite.com/265e9a4a.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/265e9a4a.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:47	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:46%20GMT	https://pavlolevchukknm201.wixsite.com/ff342417.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/ff342417.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:47	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:47%20GMT	https://pavlolevchukknm201.wixsite.com/2a1582d7.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/2a1582d7.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:48	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:47%20GMT	https://pavlolevchukknm201.wixsite.com/eb321d93.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/eb321d93.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
